date,tmin,tmax,station,period
1981-01-01,-5.89,4.11,Example_Germany,historical_1981_2010
1981-01-02,-5.37,4.63,Example_Germany,historical_1981_2010
1981-01-03,-5.0,5.0,Example_Germany,historical_1981_2010
1981-01-04,-4.86,5.14,Example_Germany,historical_1981_2010
1981-01-05,-4.95,5.05,Example_Germany,historical_1981_2010
1981-01-06,-5.27,4.73,Example_Germany,historical_1981_2010
1981-01-07,-5.78,4.22,Example_Germany,historical_1981_2010
1981-01-08,-6.42,3.58,Example_Germany,historical_1981_2010
1981-01-09,-7.1,2.9,Example_Germany,historical_1981_2010
1981-01-10,-7.73,2.27,Example_Germany,historical_1981_2010
1981-01-11,-8.22,1.78,Example_Germany,historical_1981_2010
1981-01-12,-8.53,1.47,Example_Germany,historical_1981_2010
1981-01-13,-8.59,1.41,Example_Germany,historical_1981_2010
1981-01-14,-8.41,1.59,Example_Germany,historical_1981_2010
1981-01-15,-8.01,1.99,Example_Germany,historical_1981_2010
1981-01-16,-7.44,2.56,Example_Germany,historical_1981_2010
1981-01-17,-6.78,3.22,Example_Germany,historical_1981_2010
1981-01-18,-6.12,3.88,Example_Germany,historical_1981_2010
1981-01-19,-5.54,4.46,Example_Germany,historical_1981_2010
1981-01-20,-5.12,4.88,Example_Germany,historical_1981_2010
1981-01-21,-4.92,5.08,Example_Germany,historical_1981_2010
1981-01-22,-4.96,5.04,Example_Germany,historical_1981_2010
1981-01-23,-5.22,4.78,Example_Germany,historical_1981_2010
1981-01-24,-5.68,4.32,Example_Germany,historical_1981_2010
1981-01-25,-6.26,3.74,Example_Germany,historical_1981_2010
1981-01-26,-6.88,3.12,Example_Germany,historical_1981_2010
1981-01-27,-7.46,2.54,Example_Germany,historical_1981_2010
1981-01-28,-7.9,2.1,Example_Germany,historical_1981_2010
1981-01-29,-8.15,1.85,Example_Germany,historical_1981_2010
1981-01-30,-8.16,1.84,Example_Germany,historical_1981_2010
1981-01-31,-7.93,2.07,Example_Germany,historical_1981_2010
1981-02-01,-7.47,2.53,Example_Germany,historical_1981_2010
1981-02-02,-6.85,3.15,Example_Germany,historical_1981_2010
1981-02-03,-6.14,3.86,Example_Germany,historical_1981_2010
1981-02-04,-5.42,4.58,Example_Germany,historical_1981_2010
1981-02-05,-4.79,5.21,Example_Germany,historical_1981_2010
1981-02-06,-4.32,5.68,Example_Germany,historical_1981_2010
1981-02-07,-4.06,5.94,Example_Germany,historical_1981_2010
1981-02-08,-4.04,5.96,Example_Germany,historical_1981_2010
1981-02-09,-4.26,5.74,Example_Germany,historical_1981_2010
1981-02-10,-4.66,5.34,Example_Germany,historical_1981_2010
1981-02-11,-5.19,4.81,Example_Germany,historical_1981_2010
1981-02-12,-5.76,4.24,Example_Germany,historical_1981_2010
1981-02-13,-6.29,3.71,Example_Germany,historical_1981_2010
1981-02-14,-6.68,3.32,Example_Germany,historical_1981_2010
1981-02-15,-6.88,3.12,Example_Germany,historical_1981_2010
1981-02-16,-6.84,3.16,Example_Germany,historical_1981_2010
1981-02-17,-6.55,3.45,Example_Germany,historical_1981_2010
1981-02-18,-6.04,3.96,Example_Germany,historical_1981_2010
1981-02-19,-5.37,4.63,Example_Germany,historical_1981_2010
1981-02-20,-4.61,5.39,Example_Germany,historical_1981_2010
1981-02-21,-3.85,6.15,Example_Germany,historical_1981_2010
1981-02-22,-3.17,6.83,Example_Germany,historical_1981_2010
1981-02-23,-2.65,7.35,Example_Germany,historical_1981_2010
1981-02-24,-2.34,7.66,Example_Germany,historical_1981_2010
1981-02-25,-2.28,7.72,Example_Germany,historical_1981_2010
1981-02-26,-2.45,7.55,Example_Germany,historical_1981_2010
1981-02-27,-2.81,7.19,Example_Germany,historical_1981_2010
1981-02-28,-3.29,6.71,Example_Germany,historical_1981_2010
1981-03-01,-3.82,6.18,Example_Germany,historical_1981_2010
1981-03-02,-4.3,5.7,Example_Germany,historical_1981_2010
1981-03-03,-4.65,5.35,Example_Germany,historical_1981_2010
1981-03-04,-4.81,5.19,Example_Germany,historical_1981_2010
1981-03-05,-4.72,5.28,Example_Germany,historical_1981_2010
1981-03-06,-4.4,5.6,Example_Germany,historical_1981_2010
1981-03-07,-3.85,6.15,Example_Germany,historical_1981_2010
